pathway	description	W1_CLT_1_tags	W1_CLT_2_tags	W1_CLT_3_tags	W1_CLT_4_tags	W1_CLT_5_tags	W1_DSS_1_tags	W1_DSS_2_tags	W1_DSS_3_tags	W1_DSS_4_tags	W1_DSS_5_tags	W1_LbGP_1_tags	W1_LbGP_2_tags	W1_LbGP_3_tags	W1_LbGP_4_tags	W1_LbGP_5_tags	W2_CLT_1_tags	W2_CLT_2_tags	W2_CLT_3_tags	W2_CLT_4_tags	W2_CLT_5_tags	W2_DSS_1_tags	W2_DSS_2_tags	W2_DSS_3_tags	W2_DSS_4_tags	W2_DSS_5_tags	W2_LbGP_1_tags	W2_LbGP_2_tags	W2_LbGP_3_tags	W2_LbGP_4_tags	W2_LbGP_5_tags	W3_CLT_1_tags	W3_CLT_2_tags	W3_CLT_3_tags	W3_CLT_4_tags	W3_CLT_5_tags	W3_DSS_1_tags	W3_DSS_2_tags	W3_DSS_3_tags	W3_DSS_4_tags	W3_DSS_5_tags	W3_LbGP_1_tags	W3_LbGP_2_tags	W3_LbGP_3_tags	W3_LbGP_4_tags	W3_LbGP_5_tags
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	7234.2753	1479.0936	3438.1203	3680.4676	889.4415	13849.2155	23614.308999999997	3846.6942	26091.6188	2732.2924	12439.3171	8823.226999999999	20052.3852	15822.8355	20925.5561	5944.4890000000005	5800.0403	9694.0419	8769.1309	8755.3008	11664.5346	13498.3249	14684.5433	16518.8976	7305.3056	6924.5303	4296.3691	3570.5233	3188.4127	3281.0606	2666.5695	8118.9842	4069.3628	3048.1176	4007.3253	13251.6379	1454.1223	1943.3909	2747.7357	16906.4678	2098.8979	3158.3251	10804.4484	2882.8915	6108.3887
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	998.0926	595.2514	602.6032	927.2072	412.2199	13508.4466	21786.031000000003	2160.1308	23853.6003	481.2742	6673.2817	7518.9317	13387.5231	11774.3794	14976.3266	454.0269	581.4835	8098.3361	473.4619	6133.2282	1001.7009	4775.9712	3052.655	7132.2555	1117.9174	2912.7745	1495.1704	1035.5316	832.5685	1117.2332	54.2887	71.2661	82.9268	83.5629	75.801	747.1775	189.8096	113.6768	72.9874	343.3609	99.9744	68.4966	66.8441	56.9745	50.1099
GLYOXYLATE-BYPASS	glyoxylate cycle	584.1909	396.1082	363.1933	570.1905	286.7135	11573.7786	19954.547	1501.7988	21652.2914	285.2092	4701.3441	6447.7993	10358.0428	9498.0961	11924.4565	259.8734	346.5167	5946.4306	270.0187	4527.1336	575.5947	3067.3753	1839.1561	4772.1324	660.3836	2011.7911	974.1309	651.4084	523.7354	718.3836	30.4738	39.8286	46.5039	46.9372	42.4553	425.7304	111.9046	65.0929	41.0017	192.5739	56.7651	38.4281	37.2277	31.9073	27.9381
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	296.9005	228.3234	187.4341	281.8914	163.2571	7745.4765	10266.2393	684.3084	10958.5231	141.8733	2457.935	3477.6529	5239.9191	4840.3252	5905.3243	130.9066	203.1586	3871.308	137.87	2705.9272	283.8962	1491.1389	891.7684	2306.0597	332.8475	1138.6074	506.0781	333.309	265.9992	377.3143	15.2864	19.9538	23.2516	23.8286	21.2441	212.4123	56.8895	33.0703	20.5628	95.8931	28.4902	19.2272	18.6403	15.9119	13.9833
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	4247.4346	1118.1675	3612.0232	4129.3266	681.7741	10718.729	15447.1966	2899.4053	16889.1923	2179.306	8805.5457	6549.3265	14135.8698	11579.1541	14012.525	9428.2922	4234.1909	6989.5148	13506.295	6615.6307	5935.4232	9218.7418	7959.7663	10500.0428	6137.5329	5796.88	5770.0972	6393.9059	2857.2282	5755.7036	2279.4682	4428.7786	3357.9985	1598.395	2655.7807	7498.3129	1739.594	1973.5985	2392.1688	7646.4126	2835.2503	1956.2584	10645.2375	1561.6237	6534.6407
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	1111.4945	745.8167	673.8999	942.0549	488.0589	8506.9874	7583.9969	1771.3926	10560.9985	483.6059	6583.2301	3053.9471	4914.7423	9332.1845	6225.2109	498.5757	781.3533	4001.1356	532.9369	4682.1207	598.5657	4130.8107	1659.2487	5240.9785	1125.5804	3319.8959999999997	1585.3337	1105.6473	847.2219	1212.113	60.4431	79.471	91.20299999999999	94.3265	81.0233	804.1821	208.2144	128.1665	79.5809	348.0009	110.4501	74.9178	74.0578	63.0291	55.6483
HISDEG-PWY	L-histidine degradation I	373.5207	144.2761	218.4025	663.1314	117.9215	3207.2201	11329.8672	6468.3168	12879.7398	1341.8065	6592.9764	4095.4963	16399.828999999998	10231.7076	16560.6995	256.3246	178.5446	329.4171	329.8644	531.8199	13887.7169	12640.4199	14962.2091	14729.0479	4426.5714	1380.8715	775.8312	4355.4034	624.3769	2653.0391	186.8772	190.0244	515.6879	357.3648	860.1655	11709.1245	254.0373	177.0051	558.3855	20041.5798	475.4723	330.6867	517.9748	652.5848	623.3552
HISTSYN-PWY	L-histidine biosynthesis	8729.0768	1523.8256	5140.0847	14009.4492	1143.8243	11351.2386	23395.4944	16954.0391	26370.7263	5115.2925	13386.8584	10485.7175	25725.7043	18615.4181	26437.429	12948.5161	3858.7488	14984.2155	12000.5619	16295.64	23302.2698	23354.3199	28620.2182	25650.1814	10247.4334	7211.6028	8136.3576	6433.0892	5703.9966	4797.0494	3720.29	9109.3587	9423.5567	2683.1989	6351.4035	16569.6593	2340.7019	2621.1164	4508.2949	25506.0343	4324.9518	6167.4817	14577.2059	8938.0368	9646.8851
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	446.6932	352.3511	282.3489	431.67400000000004	251.2904	9336.0432	13745.2968	1092.2917	15011.2054	213.7149	3458.8485	4988.7725	7279.022	6858.145	8346.8602	196.6403	288.6683	6489.3763	206.7894	4491.5656	428.5623	2230.4886	1350.009	3428.4593	495.0311	1683.355	766.5611	495.9997	405.555	559.2099	22.9415	29.9324	34.9415	35.7499	31.9002	318.2511	85.5259	49.6676	30.8689	144.2287	42.7917	28.9164	27.9456	23.9538	20.9779
HSERMETANA-PWY	L-methionine biosynthesis III	4878.612	330.6834	620.6799	6906.0802	241.9749	7810.5222	13826.4047	14673.3711	15322.5285	3434.4154	4060.1706	5241.2433	7661.9307	7146.0161	8818.5793	5675.4386	274.9721	6853.8086	1543.9248	4660.9826	12200.2862	12880.5696	17085.2682	11283.8844	3135.4834	1670.1787	1635.3107	495.0471	408.1124	554.6778	399.2093	2295.0155	431.6834	250.53799999999998	330.8636	319.1369	236.6542	211.5288	205.204	311.3192	320.9268	715.6342	1983.5843	4241.0506	2256.2587
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	12018.446000000002	2867.2329	7256.2917	16996.6506	1707.7839999999999	16173.4064	31042.589	20210.6507	35351.1121	6662.6261	20280.7635	12866.3592	30714.3628	24976.4618	32558.8795	17439.4458	6259.1171	18722.511000000002	17947.0364	20266.6528	26757.7004	28816.0588	33195.9161	31265.127999999997	13220.0268	10315.9595	10976.8528	10786.2248	7350.4512	8072.8015	5047.4647	11729.8883	11650.5445	4448.1559	7690.7535	22569.8828	3184.9467	3962.7285	5857.0456	31186.8739	5808.3662	7117.976	17826.1448	10827.8858	12955.2262
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	1072.5673	561.0801	631.1607	1023.4734	429.77099999999996	9890.9088	18644.2299	2645.2418	20480.4382	513.8523	6367.8685	5977.1824	13292.3157	10819.7874	14663.803	485.3059	683.3534	4079.8782	477.56800000000004	3179.1544	1112.4872	5182.0504	3373.8098	7595.0498	1190.4993	2206.2962	1391.9425	1095.6258	827.6455	1084.3895	59.5458	78.4676	91.5571	92.574	83.7471	823.5656	198.4211	116.2204	79.2765	381.1986	109.7015	76.2118	74.1554	63.5063	55.4593
LACTOSECAT-PWY	lactose and galactose degradation I	9641.2273	25337.3844	6133.4036	2759.6206	1902.4759	3382.5962	2165.4384	1227.0771	3340.0038	784.1936	6337.3738	1244.1691	1714.849	4399.2236	2107.2342	7699.6798	15317.4338	1840.2123	13666.6679	2724.4564	171.1722	2624.5134	474.2052	1838.4068	1666.4325	6749.6451	4770.8893	7493.9787	1322.6829	8434.177	4282.4772	11250.1266	1356.5088	9811.258	308.1825	3451.887	1454.52	6794.2	544.5626	560.4591	2455.2177	675.8827	2853.2683	3331.155	7227.7334
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	691.5173	564.4101	434.728	662.95	382.6444	12014.7304	18285.7951	1666.6182	20075.3435	327.7156	5170.6508	6554.0458	10412.3889	9660.2477	11825.4443	304.4666	464.2545	8479.4398	320.42400000000004	6219.8187	662.5699	3377.0134	2070.0045	5129.7634	758.2179	2493.4145	1158.1304	762.3309	613.6252	858.3873	35.6464	46.5488	54.2661	55.6932	49.5154	493.0219	131.6317	77.1598	47.883	223.93	66.362	44.8924	43.4449	37.2318	32.6137
METH-ACETATE-PWY	methanogenesis from acetate	1701.7806	1276.181	5132.0524	11445.812	638.3408	1273.8889	408.1093	1189.8426	698.3755	3333.6521	1161.2411	5907.4956	412.2682	2327.8663	313.9314	16598.6003	179.253	16205.598999999998	21779.0562	18033.9123	222.4721	203.0026	175.185	337.2477	5368.5936	5558.6955	9425.0699	4348.4251	6030.9612	4806.648	2733.7377	1306.0203	9759.7894	518.9118	4700.8737	669.6075	2563.5978	2682.3236	4402.7093	667.9713	4539.8564	3162.7934	8750.9519	845.7585	9233.1511
METHGLYUT-PWY	superpathway of methylglyoxal degradation	226.6529	172.101	140.4219	226.2995	127.4706	7637.0112	10947.2905	617.4503	11604.5241	118.3856	2129.8704	3087.9234	4698.6405	4474.3564	5522.8857	100.2386	146.2757	3329.9262	106.9457	2193.6436	240.2579	1292.5842	768.6249	2044.984	276.7222	890.9978	391.8801	275.9083	213.1293	304.1782	12.5145	16.1552	19.2294	19.6522	17.6713	178.7453	45.5778	26.3788	17.038	80.4038	23.4827	15.8589	15.4058	13.2539	11.5929
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	281.6796	220.8324	186.3277	287.3816	160.7823	9326.5904	13086.9699	753.3595	13886.1383	144.109	2570.8221	3997.458	5799.6828	5437.2172	6725.1754	130.8681	174.642	4556.5954	137.2519	3003.2697	288.9111	1565.4822	927.5178	2472.9646	335.9097	1121.2093	508.2469	333.392	271.3296	373.8383	15.2609	19.7823	23.2959	23.6305	21.2841	214.3091	56.918	32.8473	20.5905	96.4494	28.5091	19.2596	18.6324	15.9103	13.9808
NAGLIPASYN-PWY	lipid IVA biosynthesis	7847.4894	1194.2189	3282.0917	7705.2138	962.8118	10851.4322	23415.6895	16581.891	26243.6833	3825.2134	12999.3917	7850.1746	24920.6359	17346.6671	25875.6058	5726.1802	3456.6465	4414.779	3106.6598	3663.7004	23182.8964	23260.9172	28503.6058	25544.116	8313.7669	3507.8474	3738.3409	5132.5724	2953.1124	3324.7955	1866.6295	3661.8783	4471.9719	2433.9771	4143.488	16520.6817	1284.7836	822.2044	1781.7631	25577.8243	2400.0999	4856.6741	10455.9251	7880.1867	5382.4313
NONMEVIPP-PWY	methylerythritol phosphate pathway I	9049.2694	1864.9107	5482.9675	14120.4326	1246.6112	11770.2003	23978.1993	17120.1316	27081.6111	5391.8959	14159.348	10617.4059	25438.2628	19042.5832	26435.11	13951.722	4416.3807	15718.461000000001	13808.6568	16966.9789	23173.3299	23594.9924	28565.5641	25832.0579	10649.9747	7561.7177	8645.8088	7158.7115	5995.1743	5536.3815	3814.4543	8877.3031	9725.9321	3060.085	6496.799	17200.3503	2493.9558	2875.4826	4839.6536	25877.0846	4563.5	6009.6276	14893.0057	8765.186	10101.7223
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	12583.034	3562.8459	10525.9225	20504.3921	2059.3282	20625.5085	35199.2019	17980.5782	38819.9753	6700.9162	18342.8223	16775.9606	34583.9377	26171.6755	34693.9246	23626.1259	6627.6775	24590.6224	29599.8067	26783.7496	26540.3974	27627.0864	31816.7725	29913.4736	14185.5832	15547.2095	15393.5845	13328.1186	9073.2753	11859.9182	8367.838	22308.9499	14375.1861	4244.9368	8597.0195	17495.3533	4317.9835	8633.1278	7146.6744	25576.4574	7799.3344	7816.0449	20790.8409	11667.5748	18379.9567
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	10920.8555	4350.460999999999	6750.1684	8575.146	1705.4135	11747.3319	18230.7138	3725.6498	20276.2206	2987.4629	12768.6474	7568.4607	15633.9336	13876.1648	15910.5012	12624.0831	8247.9876	10619.3412	16525.085	11663.7358	6921.5644	10738.2438	9280.7989	12143.3993	7281.4674	9329.964	8098.1315	8720.9433	4100.1454	7950.9604	4963.0015	12870.9347	5580.215999999999	5437.9996	3841.9282	11581.2151	2406.81	4848.9369	3279.0491	10330.355	4194.9092	3308.3576	12793.8459	6143.6255	10616.18
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	262.5323	202.9028	164.5557	249.6102	147.1574	8267.912	10953.6173	594.0659	11563.6405	124.2343	2220.1627	3314.2871	4614.6024	4464.0382	5354.7739	114.5383	175.627	3804.1095	119.1347	2477.9468	231.6285	1288.5422	740.0643	1997.4713	288.3757	987.4762	444.2104	288.8185	233.5255	325.76099999999997	13.3746	17.445999999999998	20.3419	20.8772	18.4602	185.9799	49.7855	28.7638	17.9004	82.58	24.9421	16.8169	16.2976	13.9504	12.2358
ORNDEG-PWY	superpathway of ornithine degradation	303.4732	249.9371	189.6209	278.4699	176.3867	7925.8803	10415.8517	637.124	11112.4321	140.379	2550.0906	3121.9416	4857.7556	4709.66	5517.9755	130.8987	206.6306	3361.9489	137.9709	2418.4629	279.8274	1450.769	866.5896	2225.4092	330.069	1173.1462	505.9169	334.7089	261.6027	380.7075	15.3117	19.9822	23.2103	23.9689	21.2085	213.1264	56.9546	33.2492	20.5202	95.9027	28.4986	19.2055	18.639	15.9612	13.987
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	1011.3948	559.4049	621.2296	1018.2646	401.5299	13465.4158	23141.2079	2612.2277	25376.3273	506.61800000000005	6640.3294	7702.3175	14206.4757	12317.6165	16035.0132	474.288	512.1747	6953.9656	473.8207	5307.4537	1056.0427	5155.0615	3262.0606	7683.7382	1159.2166	2622.4421	1573.8498	1118.1639	876.416	1173.7803	56.3512	73.7667	86.6015	85.2524	78.8851	779.0193	197.2706	115.5507	75.4559	358.6803	104.6266	71.345	69.4902	59.5305	52.173
P108-PWY	pyruvate fermentation to propanoate I	8996.7334	1516.6328	4045.8333	10412.3059	1184.7314	6768.0152	20485.1248	20764.8978	24244.2029	4687.7494	13416.4255	7213.4513	26523.4824	18599.4457	28014.4425	7321.8919	1884.0954	2129.3116	2096.6233	2008.6499	28553.2862	28181.7329	34781.0056	30094.1192	8942.4359	2563.4167	4602.9818	6751.4398	3497.9376	4247.0378	2084.3094	2676.4711	5664.4174	2757.6063	4431.0162	18354.2763	1535.3691	784.3147	1327.4834	30727.5125	3096.0765	5995.304	7983.0543	9963.7435	6416.0549
P122-PWY	heterolactic fermentation	12004.6687	23851.3207	7787.3189	4866.3363	2323.1671	5589.8441	4205.1442	2761.4626	6315.2305	1624.3489	10198.8741	1792.5582	2866.6149	7585.3299	3774.6218	11028.7997	15135.1532	2421.0861	16708.1452	3414.3688	420.18199999999996	5891.5826	1125.8067	4196.1946	3538.3188	8005.3122	6836.7202	10350.0712	2549.4748	10376.601999999999	5090.8256	11676.038	2911.2892	10306.077	786.7736	7398.7314	2155.2925	6950.7861	1144.4602	1561.3419	3781.3061	1509.2164	5202.9451	5653.2352	9887.8291
P124-PWY	Bifidobacterium shunt	15313.5002	28036.3617	9597.9032	6142.5799	2829.798	6563.8085	4888.9532	3240.5370000000003	7405.1786	2041.0277	13380.7096	2083.11	3313.6472	9243.3119	4386.9307	14252.2269	18195.7829	2905.2386	21104.2757	4305.4612	480.8885	7013.4122	1290.9585	4905.4498	4356.9205	10799.7119	8789.3138	13707.7608	3127.9743	13354.2074	6612.9382	16212.0533	3526.2009	12606.4899	920.3296	9318.9646	2719.6928	8857.018	1479.0009	1802.1756	4760.4912	1764.7220000000002	6479.0941	7055.3847	12669.6338
P161-PWY	acetylene degradation	13940.8124	33923.1568	10562.4684	10196.1986	2904.0688	13123.127	14395.8256	3025.702	16449.304	3193.4889	10809.5605	7734.2615	7425.6255	10640.9896	8623.8367	19706.7918	20468.2784	18069.2464	30033.2019	18873.1719	636.8127	5336.7821	1648.7491	4985.3593	5581.17	11204.1802	11415.7131	12157.7563	5829.0592	13544.4161	6626.5138	14302.1635	8656.0845	13262.8373	3795.5764	5338.7152	3308.4603	9733.8086	4580.8617	1258.9805	5647.2618	2702.5304	9176.6317	4949.6127	13988.7615
P164-PWY	purine nucleobases degradation I (anaerobic)	729.2826	48.9184	676.1383	3586.0173	50.1277	619.2975	367.4757	278.8709	643.6262	30.7199	463.066	1241.5454	1459.7645	1843.8077	1307.0727	1610.3404	239.3979	2379.2688	954.1025	4320.7967	26.936	35.8917	66.653	24.9572	32.8395	2787.0095	1900.6447	96.5239	152.3663	42.6095	1174.7709	839.8564	685.1311	267.4303	122.5038	70.686	306.5156	1121.6697	64.0961	70.7927	716.5234	640.7542	2068.7763	941.0647	2344.2129999999997
P23-PWY	reductive TCA cycle I	979.7938	568.2479	592.2851	956.7166	407.4635	13641.142	24050.4058	2490.9929	26314.9585	480.9295	6932.1604	8311.581	15079.4725	12941.0327	16876.5092	445.5934	510.4909	5355.5762	452.17199999999997	4923.8758	993.997	5014.7029999999995	3110.143	7599.7945	1115.4304	2720.5591	1508.0172	1071.2331	832.3647	1151.2902	52.7391	68.8551	80.805	80.8659	73.8883	732.66	186.8665	109.6829	71.0762	334.9558	97.7395	66.7784	65.0239	55.6376	48.7521
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	1948.5228	1087.8277	1214.3924	1910.6375	675.7442	11712.5591	19054.6759	2541.2704	20986.8608	885.085	8464.7474	7878.8907	14330.3605	12344.7045	15225.1607	966.6983	1316.2998	10845.8071	1031.3588	9899.2643	1909.7307	6589.099	4894.0249	9098.74	2088.6756	5046.8661	2814.2874	1814.6329999999998	1508.3547	1928.6989999999998	119.8237	158.0134	181.5009	182.9689	165.1894	1532.6554	387.5289	252.6847	158.9355	737.1883	216.69	149.1926	147.7988	125.2074	110.8398
P42-PWY	incomplete reductive TCA cycle	13568.0498	2890.1681	7354.6125	13501.0269	1895.7571	16325.5862	38312.1317	24933.4132	42925.6171	6631.7205	23630.9493	14529.8013	44403.1035	30751.2614	45447.7743	11613.4216	7514.1211	5415.1872	7175.4233	6354.0527	37925.0555	38177.8024	46270.4133	43289.7778	15500.7857	7483.6693	8345.7452	10753.2093	6040.6013	7855.4316	4377.9774	7467.4122	8633.6386	5374.3665	6994.1773	33229.4853	2872.256	2177.9093	3562.039	49338.9607	5393.6201	7546.4142	19211.5535	12210.551000000001	11611.8914
P441-PWY	superpathway of N-acetylneuraminate degradation	11548.069	3224.71	5772.8599	6246.138000000001	1519.2623	15661.1099	23689.7764	5449.9276	27164.6052	3859.5815	15677.696000000002	9828.7511	15999.3735	17968.2582	18353.6377	10189.6425	12950.9981	13602.4556	15047.9268	13354.4826	2439.7047	12984.052	5701.2632	12912.9468	8624.2856	10023.426	7009.0963	6244.673000000001	4605.085	5907.9038	4311.1767	12231.5905	6089.5531	5731.5599	4632.2838	12278.357	2275.3101	3562.2216	3963.2693	4732.1908	3419.9151	3640.1958	12183.4148	4525.4157	9687.0602
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	5857.654	1026.6265	2436.4399	2065.5755	642.7363	9855.0946	12512.7726	1658.332	14670.3556	1264.1759	8628.1695	4408.0445	6124.2658	5937.9196	7190.2574	4062.9441	7236.5779	5216.515	6488.2569	3352.0345	290.497	4052.1643	942.8875	2692.0708	2649.7981	5177.7441	2891.5017	2440.1808	1777.8570000000002	2307.2213	1903.5234	6339.4043	1988.1218	2416.3286	500.1282	5480.6197	1003.3481	1366.7420000000002	899.4189	926.0356	1391.4474	1015.5461	4204.6296	1788.1071	4305.628
PANTO-PWY	phosphopantothenate biosynthesis I	8633.3909	1436.6558	3690.1245	9134.0827	1061.8888	12871.2264	26084.7365	17891.3791	29315.1517	4496.9487	14513.4142	9647.8732	27968.7033	19751.4259	28760.1308	7818.5748	4149.3421	6859.8596	5080.8292	5888.2688	24927.9415	25174.982999999997	30388.5082	27519.1967	9649.1451	4911.6615	4971.5432	6458.2679	3614.7879	4442.7548	2380.0512	5390.7176	5419.9405	2804.3841	4521.3279	17261.5833	1578.2061	1271.0904	2500.246	26341.9528	2844.1725	4825.9116	11447.3706	8004.2605	6576.6192
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	10062.7896	2179.3769	4972.7135	10854.7508	1347.3494	12640.3593	24411.1564	17923.04	27795.8326	4893.8423	15566.7453	9619.9685	25794.755	19583.1214	26834.3223	10003.771	5792.1864	8406.0464	7003.2036	7524.0845	23615.9421	24766.4214	29250.0232	26551.2598	10046.0479	6186.9322	6271.8837	7790.8976	4318.1043	5735.2967	3177.5628	7186.6532	6540.053000000001	3427.5628	5065.095	17474.4307	1985.35	1825.1681	2990.9566	24939.5581	3585.4374	5028.7334	13016.1434	8911.6268	8417.3188
PENTOSE-P-PWY	pentose phosphate pathway	6808.8581	2420.9686	5616.9968	8718.1337	1283.5396	14880.0483	25055.7854	9546.1844	28218.0798	3072.1144	13971.6692	9726.1235	23713.4241	19004.5451	24777.9366	12160.0359	5844.1383	8164.8893	16522.5256	7717.0896	16188.5405	17591.6066	18313.218999999997	19752.4004	7815.8254	8565.7086	8185.0115	9659.3324	4752.6041	8150.085999999999	3587.9416	6874.0326	6765.2269	2915.0651	4125.9201	14946.8318	2433.3826	3397.5477	2149.269	21194.828999999998	4264.4634	4033.5177	9054.1357	3712.9902	9315.1786
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	16941.514	26101.4857	10858.4152	15118.2234	2933.0141	13969.323	24396.2549	13159.3358	27944.9059	5238.6288	18254.3171	10822.8675	24783.3688	20754.4488	25865.6199	19844.5895	18567.8462	16382.2132	25699.2434	17984.196	19853.388	22198.3587	24031.0953	24062.1143	11119.7085	12731.4858	12217.608	13406.2173	6898.6205	12815.0368	7492.146	18276.0356	10582.8111	12067.9153	6489.2525	18907.2977	3666.9339	8913.5281	5103.6236	24125.9155	6532.1208	6401.9585	16879.8655	10940.498	15983.6871
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	16500.3117	25974.6175	10334.715	15716.3478	2730.0742	17442.3814	27288.7849	17765.835	30941.5477	6008.6073	16998.4699	11791.1857	21447.7272	20068.3203	23711.5182	21112.2753	17707.4626	19046.9044	27138.5303	20212.5029	19430.2567	23057.9087	25857.4092	23502.505	10771.1503	12205.9871	12335.8541	12618.1544	6996.9758	12645.6656	7022.9384	17001.342	10890.3894	11476.7791	6286.2085	13436.6013	3505.7376	8737.3059	5390.9421	6481.0352	6114.7811	5670.1062	15200.5184	10002.17	15390.7448
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	269.0778	98.24	175.9094	283.5934	54.1135	359.4258	579.9117	593.979	2429.5433	140.9424	1848.2001	400.7678	1588.2062	2482.2195	2557.5567	130.2393	45.6636	1058.4249	133.7009	492.3743	212.4576	1083.8609	641.2939	1710.1229	320.0016	176.0885	475.9073	144.0425	149.2766	120.6407	15.1369	19.6517	23.0449	22.6338	21.002	132.08100000000002	54.2286	31.7605	20.1511	82.6108	28.0087	19.135	18.5912	15.706	13.9614
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	476.9833	361.4603	353.9314	550.2612	250.0929	8797.4757	11326.1438	861.3057	12002.7369	270.0894	2487.2666	4799.1682	4799.8844	5076.1941	5521.2504	258.676	213.9927	6155.7709	268.6591	4744.6333	295.033	1309.516	790.5143	2077.649	612.2811	1772.5509	939.425	584.8939	506.3087	658.0718	30.2549	38.7269	46.3899	43.9905	42.2829	308.13599999999997	110.0079	64.0971	40.8218	157.4697	56.4446	38.1534	37.1626	30.7746	27.8961
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	13290.9409	23218.3122	8257.0647	11901.8139	2365.0886	12288.4514	23102.2366	16652.6513	26389.9665	4928.649	15922.2237	9396.6356	24083.8055	18999.0607	25150.8033	12996.2849	15858.6859	9419.3393	19034.7352	8723.1718	21660.6058	23291.2532	26942.9701	24857.0336	9997.2013	9339.7686	7953.0827	10218.9703	4839.9799	10308.6311	5591.8276	13897.6712	7397.6951	10286.6034	5431.8922	17460.6002	2402.6702	7339.6568	3314.3657	23866.8983	4237.8724	5686.8046	14103.5042	9751.9092	11027.638
PPGPPMET-PWY	ppGpp biosynthesis	381.0987	312.5156	238.6459	363.0792	224.1068	10949.5204	15153.4858	940.6286	16237.058	181.4116	3316.6952	4895.6556	6861.1395	6655.2319	7946.5823	164.4747	258.3943	6055.6533	172.8799	3996.9671	359.8366	1945.7317	1153.3184	3045.5668	421.2717	1508.8363	653.1639	421.5141	344.2446	479.0759	19.153	24.9826	29.1456	29.9669	26.6327	267.5166	71.9286	41.5869	25.7772	120.2557	35.7455	24.1384	23.3122	19.9831	17.492
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	15312.6633	4392.861	6756.4889	11580.2338	1686.0231	13936.9484	23158.2205	10763.3997	26630.3401	5126.9419	17157.542	9817.011	20014.4168	19088.4279	21571.5584	15482.9714	13671.8252	11608.2942	16851.0478	11157.1727	4457.5056	17317.5055	9645.3882	17389.0867	9973.3051	9961.8243	8468.45	7054.2611	4429.5637	6612.1073	4866.7217	14324.4735	5744.9605	6644.8387	4665.4013	14424.4609	2469.8275	4314.7169	3792.2253	7914.4388	3849.8091	3964.1097	14320.008999999998	8679.0412	11666.653
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	7557.6801	1125.7481	3089.0056	7551.8374	905.6736	11635.823999999999	23633.5762	15793.7015	26379.7948	3660.7692	12550.5158	8373.6031	25158.1018	17176.8579	25704.0272	5554.6338	3407.1796	4874.2099	3100.5579	4022.8096	21560.2437	21907.1367	26769.2593	24088.0403	7860.8897	3720.8393	3662.5938	5039.7566	2771.3877	3324.1209	1888.8624	4147.6528	4142.2053	2270.6521	3846.9563	15232.9937	1212.7482	891.7081	1701.5318	23395.7351	2250.56	4495.3705	10120.5493	7451.2526	5207.5939
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	1353.7897	51.3164	781.7388	4784.7601	54.5523	689.941	373.3845	289.4024	659.668	30.8967	478.1814	1486.9689	1596.6393	2056.7829	1387.8693	1740.4819	1026.738	2628.8812	985.4976	5047.9691	26.9811	35.9669	66.9	24.9861	32.9465	4589.3123	2250.3203	97.4391	154.9746	42.8686	2264.8878	8433.7366	718.0161	387.6842	124.6423	70.8249	338.1923	2176.9844	64.6045	70.8843	814.6642	795.8288	2686.6483	2214.4337	3054.1431
PWY-2941	L-lysine biosynthesis II	13858.1034	23525.8905	9084.2403	9113.1341	2473.9153	6467.7425	5017.5705	3492.7529	7541.5339	2077.6002	11779.4116	3210.4271	4586.2177	9659.4376	5386.9767	15002.2651	16086.0855	5105.6177	21895.8908	8178.6789	507.1621	6862.0237	1356.6864	4852.2970000000005	4315.9058	10853.249	9330.1465	11157.2659	3270.5183	11224.6923	6498.1409	16091.7397	4094.9023	10584.749	1038.0453	8471.5614	2742.7912	8101.1332	1590.5369	1846.6495	4838.6511	2327.3124	8333.3523	7466.8179	12894.3883
